gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
ENSBIXG00005005261	-2.172876468275212	4.562277083453137	-7.329549189441153	1.3267240593113722e-5	0.007318843024561436	3.5948437833221067	down
ENSBIXG00005013827	2.9646036118235375	3.512046539402168	7.28987863501728	1.3963178958199827e-5	0.007318843024561436	3.5700024538683346	up
ENSBIXG00005000868	-3.9700426528157626	3.618209822880773	-7.212949873798358	1.542683607620727e-5	0.007318843024561436	3.4726393895781698	down
ENSBIXG00005000643	2.314423820984519	5.298570461114981	7.223020312916912	1.5226211640560742e-5	0.007318843024561436	3.4375853708707895	up
ENSBIXG00005013111	-3.276213029472847	3.91733100666238	-7.1277479514515445	1.7242123911698917e-5	0.007860561133315597	3.3673973214312385	down
ENSBIXG00005009520	-4.6000123831746205	4.115661493910138	-6.990352474036102	2.0669042366150015e-5	0.00879467752679683	3.1897220622439297	down
ENSBIXG00005019252	-7.155423247968563	-0.04009539910628409	-8.473088422772559	3.283712042649693e-6	0.0038105985658566668	3.122538529304869	down
ENSBIXG00005021776	-2.331718407724712	3.335817005537342	-6.893991329768189	2.3504327504616072e-5	0.009678475503110457	3.069689009039662	down
ENSBIXG00005018766	2.538518785593795	7.099495787494961	6.765444883640356	2.7952306904126278e-5	0.011150349925974122	2.7541882872956744	up
ENSBIXG00005021328	-6.261171800275327	-0.46978637625037173	-7.76883687871532	7.626090422922504e-6	0.005408169124922543	2.60667360925501	down
ENSBIXG00005030361	2.640582485394421	4.2522402266704304	6.541174896430434	3.80147711599803e-5	0.013115096050193203	2.5852966953553533	up
ENSBIXG00005008802	2.661513893904976	10.715285942096019	6.6201965120895085	3.408607164533672e-5	0.012431677272934951	2.508387678586784	up
ENSBIXG00005018837	-3.912258050817873	3.2925518879681426	-6.3031620080270345	5.3065713068155176e-5	0.01552759114946996	2.2879573645742335	down
ENSBIXG00005004593	1.7251732286485302	5.960242450686971	6.406876251344464	4.5844543955307294e-5	0.01463014008973744	2.2788506225099905	up
ENSBIXG00005010265	3.3015775693510454	3.455353578542593	6.293420948409166	5.380377473585869e-5	0.01552759114946996	2.2760708430650354	up
ENSBIXG00005015707	5.93256740372888	2.161587296723704	6.54818163738341	3.764759978859118e-5	0.013115096050193203	2.2034632946989126	up
ENSBIXG00005022489	-5.083802262626551	1.2793092418739342	-6.628192475079882	3.371342967299793e-5	0.012431677272934951	2.161873974144509	down
ENSBIXG00005002619	1.545653471184548	4.887746573409595	6.281282234847104	5.4738864216697855e-5	0.01552759114946996	2.156951879510361	up
PB.14589	-5.665401101445917	-0.6870251559792598	-7.047768507239669	1.915562413086352e-5	0.008431777311395614	2.0239311975136562	down
ENSBIXG00005021696	1.4995977334069588	7.174260047318806	6.216109955540001	6.0064756260130135e-5	0.016667969862186112	1.9585520537816201	up
PB.20615	-4.571232555203545	2.4341492424651103	-6.0828108871456426	7.27572757223623e-5	0.018191664553796463	1.9430379399836415	down
ENSBIXG00005001387	1.5468892558459926	6.050564979349642	6.1652379836426245	6.460549754349707e-5	0.017181024502973753	1.9249707237048623	up
ENSBIXG00005009662	-2.302863721833639	3.507686538553114	-6.046390030735472	7.670222920821911e-5	0.018191664553796463	1.9093364827415522	down
PB.41124	6.28928352293136	-0.4714107683637138	7.210279281530806	1.54805140355001e-5	0.007318843024561436	1.8639142861647864	up
ENSBIXG00005025268	2.518231925249161	3.1078043669784057	5.969196886343922	8.583670496294827e-5	0.019566170336643478	1.8234292865116153	up
ENSBIXG00005024446	1.4047122331277153	5.992577729399354	6.088130115906672	7.219945444516022e-5	0.018191664553796463	1.8141101630252585	up
ENSBIXG00005014257	-6.306675652752865	-0.5006625046424921	-6.701372195735147	3.0498501862899533e-5	0.011797375038785229	1.773468863606566	down
ENSBIXG00005003959	-4.4214392112163	2.502616856050736	-5.9468834005110205	8.868794263837803e-5	0.019861431364542027	1.7601008604062534	down
ENSBIXG00005013645	3.287362999952789	6.398576846796255	6.037623569427792	7.768540041949204e-5	0.018191664553796463	1.758843686278257	up
ENSBIXG00005003530	1.166689035371995	6.9378279988186335	6.077863784288659	7.328019517607372e-5	0.018191664553796463	1.7559295519470677	up
ENSBIXG00005006062	-1.9733244201838256	2.7296955426776277	-5.883460969165273	9.735660017123573e-5	0.02035143841396271	1.7043910663290376	down
