transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
PB.37437.52	-10.195828716578427	1.6320704790015867	-7.327271587321549	3.235349505556948e-5	0.03733983802628906	1.922174549088961	down
PB.20721.2	-6.901335029271766	0.001754175292942935	-7.363498178169326	3.106596516519637e-5	0.03733983802628906	1.9146897164796677	down
PB.2253.47	-8.618744671076033	0.7487751312377704	-7.331691204341843	3.219335117083842e-5	0.03733983802628906	1.9133652091147626	down
PB.11287.308	6.866788079957464	-0.06276547516505888	7.618443541820906	2.3438811725418474e-5	0.03733983802628906	1.899954243187266	up
PB.28297.76	-1.9993979599353384	5.170096131254567	-6.624086841267579	7.332611656684294e-5	0.04085864500335454	1.8979764607105523	down
PB.33571.63	6.736333103213422	-0.1385971341472846	7.5962020161379185	2.401529080760366e-5	0.03733983802628906	1.8837928831577644	up
PB.32432.28	2.5007096096088044	3.2050399957951528	6.50547840396719	8.46710049697098e-5	0.04229695822139854	1.8782483787540665	up
PB.26077.93	-2.184838330583047	2.5379535354958973	-6.486236471057485	8.66846306781693e-5	0.042598432632713505	1.8769567802451466	down
ENSBIXT00005044948	-8.267613489487585	0.6982416493853918	-7.267445518300566	3.460874059938627e-5	0.0386112414497053	1.8641234106532174	down
PB.34736.6	1.7132312705426527	4.007116526822521	6.53044975365203	8.21330671362147e-5	0.04165079834114451	1.84706836423286	up
PB.11287.194	7.2675515423622965	0.14962123799129876	7.522702684429978	2.6032911894837298e-5	0.03733983802628906	1.844754615521774	up
PB.38798.336	-3.032009898816655	2.029924972066367	-6.430454962757367	9.282120938774851e-5	0.04357629744859505	1.8428072468104997	down
ENSBIXT00005047399	2.57577332632905	7.180953515774242	6.638837405450275	7.203471949672271e-5	0.04085864500335454	1.8097678825593135	up
PB.29663.54	-8.290503613615424	0.7244219635117627	-7.177788675061134	3.831511320727857e-5	0.03877928009426764	1.799180564698732	down
PB.4790.38	7.005786800011192	-0.06177810628056898	7.446786676709973	2.831236315349668e-5	0.03733983802628906	1.7919803412480855	up
PB.31086.25	-2.405166377848392	2.337862569436633	-6.4066594467340865	9.558085877633934e-5	0.043822514422119034	1.7884357435917035	down
PB.27049.119	5.3027285920671146	2.6946071204247315	6.394566807114841	9.70172464854106e-5	0.04417848613936667	1.788124843404244	up
ENSBIXT00005000672	-9.914068180840577	2.2150893505044493	-7.1384149597822235	4.007739471758409e-5	0.03877928009426764	1.786295229870186	down
PB.22526.17	-6.696729776639739	-0.09592188853024301	-7.180933429771347	3.817803995184493e-5	0.03877928009426764	1.780334089642821	down
PB.32371.1	1.618943907175618	5.414471294358355	6.537365861765083	8.144482873323356e-5	0.04165079834114451	1.776483339078526	up
PB.11562.116	-2.6126987121263516	2.384196240837218	-6.3853059093800395	9.813308654125431e-5	0.044384666756655554	1.7629281248549393	down
PB.17180.18	7.039268681026781	0.6616015828627787	7.385567541635074	3.0309006906920996e-5	0.03733983802628906	1.7595996104006932	up
PB.14576.48	7.193237154958071	0.0690879526962056	7.391702622736751	3.0102163074226527e-5	0.03733983802628906	1.7584394727268355	up
PB.1860.2	-3.4053198824363147	1.8920153410545708	-6.352221171009829	1.0223443451549201e-4	0.04468187934541388	1.7520972601282256	down
PB.34141.53	2.8058887989572785	2.2992727515226385	6.357208810197346	1.0160443276575521e-4	0.04468187934541388	1.7412886085379116	up
PB.2167.36	-6.263680628726486	-0.39961688311888494	-7.136317677698831	4.017370576818207e-5	0.03877928009426764	1.7388756644761552	down
PB.2484.20	-6.642311477986276	-0.16447429073626404	-7.115744769687118	4.11319094502906e-5	0.03877928009426764	1.7316321540580617	down
